,id,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods
0,5524,635,88,546,172,88,88
1,2174,11,1,6,2,1,6
2,4141,426,49,127,111,21,42
3,6182,11,4,20,10,3,5
4,5324,173,43,118,46,27,15
5,7446,520,42,98,0,42,14
6,965,235,65,164,50,49,27
7,6177,76,10,56,3,1,23
8,4855,14,0,24,3,3,2
9,5899,28,0,6,1,1,13
10,1994,5,5,6,0,2,1
11,387,6,16,11,11,1,16
12,2125,194,61,480,225,112,30
13,8180,233,2,53,3,5,14
14,2569,3,14,17,6,1,5
15,2114,1006,22,115,59,68,45
16,9736,53,5,19,2,13,4
17,4939,84,5,38,150,12,28
18,6565,1012,80,498,0,16,176
19,2278,4,17,19,30,24,39
20,9360,86,2,73,69,38,48
21,5376,1,1,1725,1,1,1
22,1993,867,0,86,0,0,19
23,4047,384,0,102,21,32,5
24,1409,270,3,27,39,6,99
25,7892,6,4,25,15,12,13
26,2404,173,4,30,3,6,41
27,5255,5,1,3,3,263,362
28,9422,36,2,42,20,21,10
29,1966,684,100,801,21,66,0
30,6864,8,4,10,2,2,4
31,3033,112,17,44,34,22,89
32,5710,110,0,5,2,0,3
33,7373,96,12,96,33,22,43
34,8755,482,34,471,119,68,22
35,10738,40,0,19,2,1,3
36,4339,702,17,151,0,8,35
37,10755,6,3,14,15,7,36
38,8595,55,0,6,2,0,4
39,2968,437,8,206,160,49,42
40,8601,421,76,536,82,178,102
41,503,13,1,29,3,0,7
42,8430,9,0,6,3,1,3
43,7281,81,11,50,3,2,39
44,2139,3,1,10,3,2,12
45,1371,123,164,266,227,30,174
46,9909,3,18,14,15,22,50
47,7286,13,6,15,3,5,13
48,7244,48,5,48,6,10,7
49,6566,826,50,317,50,38,38
50,8614,245,19,125,37,67,14
51,4114,650,37,780,27,167,32
52,1331,12,6,20,30,1,3
53,2225,510,120,550,156,40,241
54,9381,328,9,124,12,24,109
55,6260,984,51,432,180,120,190
56,10383,295,35,482,121,120,40
57,7437,13,0,8,2,1,5
58,8557,11,3,22,2,2,6
59,8375,447,0,28,0,0,43
60,6853,712,26,538,69,13,80
61,3076,452,18,102,16,18,6
62,1012,523,7,134,37,14,169
63,6518,546,0,48,0,6,6
64,4137,398,40,367,119,122,30
65,8082,1,3,6,3,6,15
66,1386,10,0,1,0,0,0
67,9369,688,14,309,201,24,38
68,4477,247,49,159,7,82,109
69,1357,856,59,487,58,29,73
70,1402,496,36,460,189,60,12
71,10629,25,3,43,17,4,17
72,6312,258,107,291,84,37,86
73,8132,565,6,65,0,6,19
74,1050,14,10,13,4,15,9
75,5846,2,1,6,2,1,1
76,1859,721,111,925,97,18,18
77,7503,1032,105,779,137,105,51
78,10401,1,0,5,0,3,9
79,1618,577,0,64,0,0,51
80,3332,64,4,68,7,5,17
81,2261,4,1,5,2,0,4
82,5346,25,5,19,7,0,23
83,4119,112,17,44,34,22,89
84,535,163,23,424,27,65,76
85,5268,17,8,14,10,4,3
86,273,130,0,16,0,0,5
87,4452,292,6,37,0,3,34
88,8504,350,60,568,110,133,145
89,771,135,9,39,4,0,7
90,8996,230,42,192,49,37,53
91,9235,7,0,8,2,0,1
92,5798,445,37,359,98,28,18
93,11178,15,2,10,0,1,4
94,2230,27,2,14,0,0,0
95,7516,5,3,11,12,5,9
96,7247,505,0,26,0,0,75
97,11100,51,2,7,0,1,2
98,4646,207,26,447,75,0,223
99,3037,135,46,92,65,61,11
100,1473,53,1,5,2,1,10
101,1016,41,1,6,2,0,5
102,4518,386,172,183,185,132,111
103,9370,562,81,276,80,40,81
104,8908,217,76,690,50,26,38
105,8373,1,3,6,10,0,9
106,7533,144,1,32,2,1,7
107,2683,295,106,271,75,98,65
108,3629,76,3,31,4,4,27
109,10991,454,194,106,31,22,43
110,5077,425,115,292,23,35,79
111,7431,1332,17,311,23,51,86
112,3267,527,0,21,0,0,60
113,999,490,44,125,29,20,22
114,9215,378,0,101,0,0,72
115,2286,64,1,21,0,1,27
116,1592,547,99,812,151,82,33
117,367,47,90,94,123,103,120
118,5234,12,5,25,0,9,30
119,9862,1,6,7,11,5,3
120,9805,320,48,133,39,72,48
121,6205,34,3,29,0,4,10
122,8442,9,0,7,3,4,7
123,7386,17,0,14,7,3,2
124,7215,722,27,102,44,72,168
125,1491,162,33,124,40,28,172
126,11071,450,133,951,173,0,216
127,3381,70,0,16,0,0,4
128,8268,352,0,27,10,0,15
129,11051,492,19,110,16,12,12
130,8026,120,58,73,65,89,58
131,433,534,5,47,0,5,41
132,9597,236,106,189,23,41,130
133,1295,231,65,196,38,71,124
134,5290,220,0,33,3,0,23
135,1685,796,14,590,38,44,0
136,5342,0,1,3,10,6,9
137,9579,53,1,34,2,0,16
138,7660,15,0,8,4,2,20
139,1461,17,1,12,3,1,4
140,821,962,61,921,52,61,20
141,11084,738,0,232,13,20,50
142,8690,399,28,756,36,40,126
143,2937,614,16,132,43,33,33
144,9701,32,34,41,73,16,116
145,9949,598,16,141,32,41,49
146,10837,2,1,18,20,11,16
147,3120,6,1,10,0,1,4
148,5885,73,3,90,12,1,32
149,4050,42,16,29,12,20,8
150,3830,295,21,78,39,13,13
151,7987,346,17,48,23,13,13
152,7798,233,20,57,8,20,91
153,92,5,7,24,19,14,20
154,7055,888,0,57,0,0,76
155,10240,997,26,269,34,13,42
156,3025,212,6,69,4,12,3
157,9283,8,1,7,2,0,0
158,9970,42,11,57,10,28,14
159,2730,536,11,387,149,91,57
160,2795,5,0,3,0,0,5
161,9260,1349,16,249,43,16,33
162,8182,53,3,49,7,4,5
163,10095,1001,12,240,16,12,12
164,8475,20,2,1582,1,2,1
165,4370,18,1,32,6,3,28
166,10573,125,16,98,134,21,27
167,3712,212,5,33,7,0,2
168,6637,277,162,305,173,76,124
169,3152,15,10,19,8,17,20
170,5610,7,3,10,8,1,7
171,6460,12,4,6,11,8,16
172,1349,85,7,24,2,3,27
173,1880,81,0,6,0,0,6
174,641,59,0,12,0,0,48
175,8717,1149,71,449,69,71,26
176,10314,847,66,119,86,89,111
177,10854,29,0,14,0,0,2
178,10492,2,0,5,2,0,1
179,6935,207,26,447,75,0,223
180,7698,152,3,22,2,5,7
181,3559,12,11,10,3,12,9
182,10562,620,26,195,34,17,141
183,10796,47,1,6,0,0,12
184,2563,1,9,7,2,14,10
185,3518,10,1,18,10,4,7
186,5823,35,0,2,0,0,2
187,3934,356,0,107,19,9,117
188,6982,783,30,537,140,76,15
189,6431,42,1,18,3,0,4
190,9733,1,4,10,29,0,36
191,5602,466,22,432,147,113,102
192,7829,15,6,8,7,4,25
193,1324,23,3,21,3,19,22
194,326,235,6,45,8,9,12
195,7224,10,0,10,3,1,7
196,6999,656,16,106,32,16,8
197,9938,519,17,813,27,173,51
198,6422,344,189,482,50,33,172
199,3182,96,1,79,7,1,79
200,7300,448,4,34,6,4,39
201,10424,265,138,553,224,23,92
202,8727,587,43,337,42,87,54
203,2798,763,29,138,76,176,58
204,1030,22,0,13,0,0,3
205,624,6,4,1,7,2,15
206,5176,7,6,13,7,6,14
207,5552,81,18,113,47,13,21
208,868,54,0,7,0,0,4
209,380,1170,48,320,42,32,192
210,2677,72,24,68,65,4,8
211,6521,613,22,319,33,102,12
212,6927,224,0,30,0,0,10
213,2877,410,0,59,19,9,44
214,0,239,10,554,254,87,54
215,1584,171,7,171,25,19,89
216,7264,12,0,4,0,0,1
217,6274,1076,16,417,42,48,16
218,1377,182,4,33,0,0,66
219,454,824,32,162,42,32,43
220,1755,30,11,25,29,1,18
221,2075,377,10,540,80,30,10
222,4785,520,7,154,19,0,14
223,9076,155,1,25,0,1,3
224,7079,897,23,207,15,11,92
225,4653,131,0,16,2,1,39
226,7375,297,7,79,0,11,182
227,709,787,20,204,0,0,92
228,460,792,86,740,67,51,17
229,3726,4,1,9,3,0,0
230,6798,231,7,137,4,15,39
231,5341,983,76,184,180,138,27
232,1606,3,1,8,4,3,3
233,9617,0,4,5,6,0,4
234,3233,562,21,464,28,10,32
235,89,5,9,20,6,8,21
236,2936,18,0,4,0,0,1
237,9449,415,5,124,15,35,11
238,7297,5,3,10,12,7,20
239,11004,8,0,5,7,0,2
240,313,901,61,757,186,163,20
241,9940,382,114,276,75,124,38
242,10735,14,1,7,2,1,1
243,9529,559,153,503,218,13,181
244,6439,789,0,133,0,28,152
245,7411,11,0,5,0,0,1
246,2176,1218,16,272,104,0,80
247,9265,925,64,179,133,12,77
248,8867,864,134,768,150,38,172
249,8932,960,28,183,220,70,70
250,10236,16,3,25,6,1,13
251,6340,3,3,7,0,2,11
252,10089,168,148,444,32,172,148
253,2227,45,47,52,21,20,25
254,10992,650,28,353,45,42,30
255,5304,24,0,8,0,0,1
256,309,918,21,118,13,10,21
257,3406,138,33,87,28,24,12
258,2661,12,4,2,10,6,10
259,3153,11,0,4,0,0,2
260,10264,1,2,8,4,3,13
261,1184,554,41,215,11,0,24
262,4200,167,2,62,24,13,7
263,9396,9,0,6,4,1,5
264,2387,177,2,71,3,2,20
265,6690,38,4,22,4,2,20
266,1225,483,84,398,205,84,241
267,9703,77,2,35,0,1,69
268,291,182,74,298,162,149,116
269,4557,10,7,19,8,2,21
270,2379,778,44,499,95,73,146
271,5726,16,7,23,0,8,6
272,3066,167,0,43,6,2,13
273,6336,13,2,14,8,7,4
274,10967,33,6,40,3,7,10
275,2304,625,7,99,10,22,7
276,3445,216,162,224,101,92,162
277,7828,68,129,396,188,22,15
278,3762,196,0,512,33,130,54
279,4391,635,15,100,20,7,131
280,4669,4,19,9,28,25,17
281,10144,297,7,79,0,11,182
282,8652,84,5,38,150,12,28
283,1672,204,7,149,20,15,66
284,8962,26,0,8,0,0,3
285,9974,15,6,20,4,5,20
286,10983,304,98,230,150,74,74
287,8148,285,28,242,55,114,135
288,10102,395,183,565,166,141,28
289,4697,248,3,81,4,3,51
290,9262,20,6,5,0,9,12
291,7254,39,0,56,20,8,14
292,4543,777,129,573,216,21,203
293,4927,8,3,22,21,1,13
294,10451,9,1,3,0,4,8
295,2926,1241,0,80,0,13,40
296,2874,6,4,7,4,3,8
297,9738,65,4,16,0,4,11
298,7119,395,15,263,60,54,38
299,3924,801,0,80,0,0,35
300,5827,36,0,12,2,2,10
301,5596,513,14,154,19,0,28
302,10812,37,0,46,4,3,0
303,1717,80,15,93,20,13,52
304,9491,14,1,21,2,3,25
305,9274,525,147,112,219,147,63
306,6609,1,26,25,17,23,15
307,6963,675,11,400,15,45,11
308,4440,509,0,27,0,0,10
309,1379,154,2,46,20,4,15
310,10032,3,5,14,2,12,17
311,2826,25,0,8,2,0,2
312,2437,861,138,461,60,30,61
313,6320,768,44,561,77,44,14
314,3050,185,0,28,3,2,17
315,231,24,0,7,0,0,1
316,2392,44,4,21,6,0,27
317,9478,91,64,128,65,3,50
318,113,11,0,7,3,1,6
319,2863,738,20,172,52,50,20
320,1802,412,5,119,38,29,77
321,520,3,3,7,6,2,9
322,8275,16,0,3,0,0,1
323,9750,731,60,353,78,12,73
324,2607,424,17,118,7,23,41
325,7214,792,0,275,45,45,126
326,5835,21,2,28,3,2,9
327,3896,22,1,11,0,1,2
328,10350,33,0,5,0,0,0
329,7786,68,7,59,10,5,11
330,2861,9,1,6,3,0,4
331,663,40,2,15,8,0,6
332,10675,909,11,218,0,0,23
333,2521,23,1,13,2,2,18
334,9592,11,2,9,3,0,8
335,10151,317,46,247,151,46,139
336,7381,797,153,293,72,97,30
337,4099,10,2,16,11,2,21
338,9560,856,61,570,40,25,122
339,1150,755,144,562,104,64,224
340,10172,456,19,832,75,118,38
341,11191,37,32,38,11,3,18
342,9707,1103,0,45,0,0,34
343,6245,378,14,68,19,14,14
344,8234,1,6,7,0,1,3
345,1411,204,34,204,172,153,173
346,8553,30,0,9,0,0,3
347,1826,189,104,379,111,189,218
348,8842,15,0,12,7,3,7
349,11030,9,0,3,0,0,4
350,2579,495,33,255,11,33,8
351,175,656,80,455,52,107,93
352,9185,452,20,514,13,30,0
353,11056,546,91,410,119,0,22
354,9365,1048,0,217,0,0,12
355,6201,22,2,14,0,1,10
356,2061,78,0,11,0,0,10
357,6184,561,64,785,84,128,48
358,6142,629,17,177,69,0,8
359,4107,269,15,69,15,19,38
360,7274,736,163,818,212,163,61
361,9336,512,0,83,0,0,41
362,2958,19,3,10,11,8,6
363,933,9,0,6,4,1,5
364,5837,247,8,160,6,8,65
365,10704,404,0,92,28,27,142
366,5125,333,0,815,129,42,29
367,4432,2,3,20,6,11,9
368,5955,833,33,549,151,133,233
369,2928,789,0,142,12,9,38
370,5680,10,4,7,0,6,3
371,10313,159,4,45,6,2,38
372,2557,7,1,6,3,1,11
373,1245,977,12,253,16,12,101
374,1519,38,4,22,3,3,3
375,10703,57,0,27,0,0,36
376,1726,3,9,15,13,2,39
377,4459,10,4,14,4,4,1
378,1729,1043,24,97,32,24,157
379,1517,3,9,13,2,12,12
380,2098,11,0,5,0,0,1
381,9543,3,6,5,0,2,6
382,6878,43,12,96,78,40,55
383,3310,73,3,90,12,1,32
384,2724,12,0,1,0,0,6
385,948,4,7,7,6,4,13
386,6720,314,11,53,4,3,107
387,6202,571,50,142,33,50,159
388,2066,70,0,11,2,8,23
389,9799,866,21,151,28,21,86
390,8318,594,134,786,33,134,57
391,5642,140,4,61,0,13,4
392,2669,375,152,335,93,91,81
393,455,102,9,63,2,9,24
394,7683,554,35,113,0,7,78
395,3428,919,0,505,99,30,45
396,7414,96,1,42,12,3,32
397,6354,5,2,16,3,2,19
398,798,2,0,6,8,6,5
399,8213,6,4,9,6,36,35
400,2488,23,1,25,0,8,7
401,9999,610,105,125,137,42,21
402,7617,67,5,61,3,8,19
403,615,65,36,74,38,20,110
404,2552,416,0,26,0,0,4
405,194,23,0,11,3,2,2
406,3645,19,3,26,10,9,3
407,8890,155,7,80,13,7,10
408,5049,14,0,24,3,3,2
409,9973,370,9,92,6,9,4
410,7301,4,22,11,3,7,32
411,10882,407,53,221,58,150,26
412,7030,1200,0,204,38,29,14
413,7422,85,44,54,102,78,6
414,3523,583,34,309,0,22,125
415,7106,483,0,591,156,0,12
416,6504,2,5,9,28,6,28
417,5067,966,26,282,52,26,26
418,4216,822,114,108,179,137,114
419,8581,604,0,100,19,0,28
420,5929,19,3,19,3,1,3
421,3129,5,3,11,12,5,9
422,6528,2,2,2,2,1,1
423,1361,1076,68,103,29,91,68
424,6932,1285,42,716,55,0,21
425,7284,10,0,7,2,0,1
426,1340,551,137,792,179,103,33
427,8746,800,0,297,0,34,57
428,5987,2,2,11,10,6,12
429,3767,378,0,189,97,172,172
430,3725,1248,16,349,43,16,16
431,4324,235,0,235,19,4,191
432,238,515,47,181,149,95,95
433,6694,438,66,400,12,38,114
434,498,25,0,22,2,3,5
435,9347,31,0,7,2,0,6
436,9699,357,35,271,28,28,14
437,10664,400,4,35,6,0,22
438,5455,99,0,15,2,1,5
439,456,1,11,5,4,6,9
440,5012,5,4,13,8,0,4
441,7495,77,28,31,16,0,4
442,5029,3,1,2,4,3,1
443,10642,10,4,14,4,4,1
444,2106,0,6,3,7,6,12
445,10364,0,0,1,2,12,5
446,5954,76,14,74,13,5,10
447,1137,398,190,537,61,156,37
448,2541,14,7,11,11,0,5
449,1142,208,7,82,30,66,35
450,2276,430,16,322,43,24,33
451,2807,656,38,161,62,47,37
452,6471,14,2,30,8,2,3
453,6131,141,70,106,72,19,23
454,6233,507,19,364,25,47,9
455,4148,164,24,103,12,3,42
456,4947,606,24,974,197,194,64
457,3225,116,11,72,3,17,46
458,7540,143,15,60,24,23,5
459,10648,398,96,447,220,96,32
460,1992,522,0,257,32,16,66
461,7851,161,0,253,199,191,122
462,8594,112,0,6,2,1,14
463,7059,483,84,398,205,84,241
464,2815,7,5,39,17,15,37
465,2416,789,25,420,16,38,0
466,7999,1239,17,413,23,34,17
467,9213,4,1,5,2,0,3
468,9697,335,42,127,28,5,5
469,3916,639,8,166,11,8,58
470,2021,563,76,384,84,192,89
471,1581,2,0,8,2,2,3
472,564,746,8,125,11,8,8
473,6619,22,1,13,4,0,4
474,9081,4,1,6,4,1,9
475,178,478,0,193,110,75,117
476,916,20,3,4,2,0,2
477,5512,451,0,39,0,4,24
478,8970,371,22,39,6,0,92
479,10581,281,7,84,15,0,119
480,5300,19,7,19,0,1,24
481,5154,26,3,13,2,10,0
482,8346,138,15,35,25,11,72
483,1676,213,2,44,0,2,5
484,9286,407,28,100,120,74,18
485,2426,483,74,114,169,37,18
486,5172,738,0,232,13,20,50
487,5562,502,12,109,16,6,90
488,3436,11,0,5,2,1,1
489,3921,24,1,108,29,29,14
490,3403,1170,19,594,99,76,134
491,22,185,2,88,15,5,14
492,10965,983,20,389,240,50,40
493,9426,691,0,69,10,0,130
494,6605,504,13,131,8,0,26
495,3136,317,25,265,25,19,12
496,8737,29,1,9,2,0,2
497,11088,1396,0,322,46,35,17
498,716,529,0,356,63,28,0
499,466,388,14,218,91,14,21
500,9135,13,2,21,4,0,24
501,10623,28,0,4,0,0,0
502,8151,16,36,21,20,62,108
503,5140,1047,0,140,67,38,153
504,10160,31,0,7,2,0,6
505,4945,815,10,239,28,10,108
506,10584,225,162,387,106,36,29
507,6071,493,70,324,146,40,84
508,3386,34,4,66,3,10,20
509,8939,382,138,65,60,26,59
510,9925,127,1,56,0,1,31
511,4320,325,83,300,86,58,91
512,5389,238,17,68,8,10,6
513,6036,1168,92,408,72,129,55
514,182,284,0,55,0,6,52
515,203,1288,20,613,80,61,27
516,11025,65,0,46,4,3,20
517,10203,11,7,9,3,1,11
518,4607,227,23,389,42,21,75
519,3711,1035,134,670,25,38,0
520,3696,27,1,12,2,0,10
521,2532,982,73,351,56,14,175
522,9214,179,2,64,38,17,58
523,4943,1379,33,216,0,33,66
524,35,32,1,64,16,12,85
525,2258,8,4,15,7,6,2
526,4322,881,38,319,16,25,12
527,713,141,15,153,67,31,35
528,4702,1000,155,379,224,17,120
529,3281,206,10,67,30,27,71
530,702,162,61,83,97,57,61
531,2004,619,54,260,127,54,54
532,4769,456,4,24,0,0,9
533,4437,112,6,92,3,9,38
534,8724,11,3,22,2,2,6
535,10741,172,12,112,8,0,15
536,1991,78,0,11,0,0,7
537,6931,464,151,292,65,60,30
538,11096,99,4,32,37,54,6
539,304,19,3,19,4,5,26
540,3665,1,9,8,11,3,22
541,10591,63,10,83,7,19,19
542,5036,252,3,42,4,3,102
543,5547,1478,19,403,0,19,0
544,7822,198,18,252,32,108,54
545,8541,8,4,10,6,7,6
546,10955,416,46,925,60,107,46
547,4368,42,7,43,20,12,10
548,9671,14,3,21,2,1,28
549,2256,17,0,3,0,0,1
550,4279,15,4,10,3,4,18
551,5371,6,16,24,11,0,34
552,9240,458,0,24,6,4,34
553,9460,30,3,47,19,21,42
554,9504,179,28,520,111,123,47
555,8692,90,17,97,15,6,15
556,448,308,85,137,102,45,118
557,8314,557,129,761,29,185,111
558,8420,7,4,13,15,8,17
559,3174,1492,38,287,50,57,33
560,7685,30,8,12,8,8,12
561,3179,249,153,940,58,134,38
562,9780,465,25,132,136,0,37
563,10681,129,129,259,168,121,83
564,10232,174,18,81,28,6,24
565,4184,189,2,29,3,2,40
566,9120,747,10,161,65,40,42
567,891,6,0,2,2,0,1
568,10381,14,0,3,0,0,4
569,3525,12,0,4,0,0,1
570,6818,98,0,106,49,10,106
571,3526,32,0,5,0,0,1
572,8181,51,12,49,17,24,24
573,1029,200,5,44,0,10,20
574,7369,25,6,25,6,0,0
575,2574,1050,12,144,0,0,24
576,8159,117,0,22,13,0,30
577,1160,9,4,17,10,2,7
578,10242,56,0,11,0,0,8
579,5253,145,13,46,17,2,4
580,5966,203,0,10,0,0,2
581,5314,270,3,27,39,6,99
582,5081,9,0,16,6,6,10
583,5123,37,12,23,8,11,52
584,5756,46,0,7,0,0,2
585,8036,31,1,13,7,2,9
586,9058,1060,21,530,32,0,224
587,5057,264,47,188,54,47,11
588,254,399,4,30,6,4,30
589,4179,8,9,9,2,5,22
590,3710,19,0,35,6,4,17
591,7627,817,183,797,106,163,20
592,4501,292,127,635,132,127,165
593,6424,12,6,2,11,2,16
594,3075,130,30,168,20,34,0
595,4992,6,4,16,3,10,30
596,5252,16,12,18,7,1,13
597,7444,19,0,9,0,0,2
598,6919,4,7,15,13,9,15
599,3537,31,3,31,2,8,4
600,10277,36,0,2,0,0,4
601,2453,526,28,135,10,21,99
602,7972,400,32,519,71,75,54
603,895,410,16,114,0,5,49
604,1177,80,3,26,4,2,14
605,7141,88,10,46,2,3,64
606,7232,55,0,6,2,0,4
607,8477,5,1,13,3,5,1
608,2457,8,4,5,15,2,11
609,988,410,0,592,147,22,22
610,7930,101,13,76,20,18,40
611,4587,162,25,53,16,0,10
612,6682,2,8,1,4,7,15
613,6222,25,0,8,2,0,2
614,10299,389,91,248,64,49,41
615,3083,215,13,87,17,17,24
616,8953,27,0,5,0,0,3
617,1503,85,1,16,2,1,2
618,8650,5,6,10,6,5,10
619,10862,179,8,83,19,11,26
620,2782,352,0,27,10,0,15
621,6941,17,8,12,11,15,32
622,10972,625,35,169,58,17,35
623,10708,10,6,11,0,4,2
624,6583,390,22,323,104,35,107
625,3641,10,2,15,2,1,6
626,10156,215,63,507,231,31,190
627,4299,1001,17,572,93,125,17
628,3469,19,18,33,24,1,8
629,5063,41,5,129,10,3,3
630,10727,1181,107,199,39,30,30
631,9624,603,45,207,36,18,54
632,5156,129,129,259,168,121,83
633,4376,10,24,15,13,1,30
634,8923,514,22,732,42,198,79
635,8461,14,0,1,0,0,1
636,6945,387,20,713,38,54,163
637,944,121,103,69,8,44,48
638,1907,965,69,279,54,41,69
639,701,707,21,250,85,43,73
640,3856,571,50,142,33,50,159
641,4149,586,66,653,17,0,26
642,2131,1063,89,102,16,12,25
643,2942,305,3,27,4,3,144
644,1173,1200,105,758,0,42,147
645,4381,163,2,40,8,11,11
646,4611,1009,181,104,202,21,207
647,3376,125,6,73,8,4,19
648,4679,721,0,152,119,50,50
649,10928,315,4,62,41,31,146
650,4248,1000,19,711,125,115,38
651,6728,16,0,17,6,3,6
652,6661,757,80,217,29,80,11
653,4725,30,2,25,0,1,9
654,3277,219,3,100,26,0,17
655,5555,1,1,1,1,1,1
656,2564,111,3,28,2,6,15
657,946,45,47,52,21,20,25
658,3867,410,112,420,0,82,71
659,6940,100,1,39,6,1,76
660,55,509,0,65,7,11,5
661,7093,3,6,5,0,2,6
662,5084,445,53,213,104,98,151
663,1777,2,2,11,41,7,11
664,8162,4,1,11,6,2,2
665,10826,6,1,7,23,4,19
666,8754,14,0,3,0,0,3
667,1987,1,10,11,19,3,15
668,11007,26,0,6,0,0,2
669,7426,111,16,37,7,9,18
670,9153,418,61,428,80,51,10
671,10379,327,9,122,19,14,83
672,9204,371,159,194,58,106,141
673,3197,275,59,107,69,101,59
674,2920,789,0,142,12,9,38
675,6961,1,1,5,0,3,1
676,4673,1004,12,145,32,12,36
677,9937,187,81,149,25,43,91
678,8779,56,4,76,17,1,18
679,9596,365,32,117,34,110,6
680,2891,595,23,123,10,23,154
681,4910,1132,134,384,175,134,115
682,75,34,11,137,179,61,45
683,10120,116,6,82,6,6,41
684,6327,565,32,435,28,32,54
685,10142,372,18,126,47,48,78
686,9826,899,102,838,133,102,40
687,1501,55,16,1622,17,3,4
688,10767,760,40,480,0,40,26
689,7279,260,86,559,63,9,67
690,7230,459,0,24,6,0,4
691,143,466,0,224,119,49,99
692,450,67,15,80,17,11,80
693,9316,2,0,7,3,7,10
694,6379,67,1,20,0,2,31
695,9239,92,4,18,3,3,6
696,8315,4,2,11,2,0,4
697,2868,20,1,28,3,3,2
698,10888,273,11,178,62,83,29
699,1277,434,22,388,104,22,34
700,9977,321,11,309,33,26,34
701,10196,212,123,177,15,64,23
702,6384,909,12,278,0,12,242
703,8029,1184,32,352,21,16,16
704,968,112,19,21,16,14,5
705,6988,656,80,455,52,107,93
706,4472,23,0,8,6,2,18
707,6991,537,6,42,16,6,30
708,3336,712,0,45,0,0,191
709,4301,23,1,13,2,2,18
710,1940,1,3,4,2,2,6
711,1272,664,58,83,32,0,66
712,1388,6,10,21,19,14,42
713,1044,299,5,201,21,21,49
714,6969,99,13,66,43,8,4
715,10479,749,40,294,121,160,147
716,3619,345,25,501,63,138,80
717,1715,9,4,18,7,5,5
718,10159,440,81,368,0,122,174
719,1463,8,2,5,3,0,3
720,5114,670,9,249,0,28,9
721,4990,524,0,134,28,28,155
722,4329,6,0,6,2,1,1
723,10936,597,166,597,172,166,249
724,4692,7,0,12,13,7,32
725,7212,54,0,7,0,0,4
726,6086,445,25,706,80,76,48
727,437,294,142,218,164,58,151
728,11171,292,3,77,10,3,26
729,11101,412,22,132,59,28,183
730,5329,8,0,3,0,0,0
731,610,349,4,78,6,0,43
732,9384,328,9,124,12,24,109
733,5956,144,2,99,7,2,30
734,10430,1126,28,211,37,28,42
735,7875,967,0,617,43,50,0
736,7072,432,79,341,177,136,170
737,6255,138,39,63,55,18,21
738,6516,0,0,1,7,4,6
739,5564,509,133,497,78,24,97
740,5682,948,10,86,13,21,21
741,7458,39,2,25,4,3,24
742,5237,28,1,21,3,0,10
743,7761,13,11,24,13,8,40
744,5278,307,26,360,138,31,40
745,3560,901,31,345,75,31,191
746,7235,2,5,12,4,8,7
747,10548,283,17,372,138,106,44
748,2281,4,3,7,0,3,11
749,4073,769,80,252,15,34,65
750,6974,518,42,742,55,56,84
751,7938,350,8,66,17,4,4
752,7094,445,53,213,104,98,151
753,3667,778,178,689,41,27,44
754,7723,709,93,374,104,80,80
755,3870,359,35,314,93,116,89
756,4012,799,12,375,16,12,12
757,5909,895,10,101,13,0,152
758,10470,40,2,23,0,4,23
759,6488,76,0,7,0,0,16
760,10270,11,5,22,12,5,11
761,6887,245,16,223,21,43,16
762,6406,647,107,391,175,67,40
763,7573,39,1,9,2,1,34
